id,learner,category,score
1,learned,strength,1
1,ranked,strength,1
1,learned,stretching,2
1,ranked,stretching,2
1,learned,relaxation,3
1,ranked,cardio,3
1,learned,taiji,4
1,ranked,taiji,4
1,learned,cardio,5
1,ranked,relaxation,5
2,learned,strength,1
2,ranked,relaxation,1
2,learned,cardio,2
2,ranked,stretching,2
2,learned,stretching,3
2,ranked,taiji,3
2,learned,relaxation,4
2,ranked,cardio,4
2,learned,taiji,5
2,ranked,strength,5
3,learned,relaxation,1
3,ranked,relaxation,1
3,learned,stretching,2
3,ranked,stretching,2
3,learned,strength,3
3,ranked,strength,3
3,learned,cardio,4
3,ranked,cardio,4
3,learned,taiji,5
3,ranked,taiji,5
4,learned,taiji,1
4,ranked,cardio,1
4,learned,cardio,2
4,ranked,strength,2
4,learned,relaxation,3
4,ranked,stretching,3
4,learned,strength,4
4,ranked,relaxation,4
4,learned,stretching,5
4,ranked,taiji,5
5,learned,strength,1
5,ranked,strength,1
5,learned,cardio,2
5,ranked,cardio,2
5,learned,relaxation,3
5,ranked,stretching,3
5,learned,taiji,4
5,ranked,relaxation,4
5,learned,stretching,5
5,ranked,taiji,5
6,learned,stretching,1
6,ranked,stretching,1
6,learned,taiji,2
6,ranked,relaxation,2
6,learned,cardio,3
6,ranked,strength,3
6,learned,strength,4
6,ranked,taiji,4
6,learned,relaxation,5
6,ranked,cardio,5
7,learned,strength,1
7,ranked,strength,1
7,learned,taiji,2
7,ranked,taiji,2
7,learned,cardio,3
7,ranked,stretching,3
7,learned,relaxation,4
7,ranked,relaxation,4
7,learned,stretching,5
7,ranked,cardio,5
8,learned,strength,1
8,ranked,strength,1
8,learned,cardio,2
8,ranked,cardio,2
8,learned,taiji,3
8,ranked,stretching,3
8,learned,relaxation,4
8,ranked,relaxation,4
8,learned,stretching,5
8,ranked,taiji,5
9,learned,stretching,1
9,ranked,cardio,1
9,learned,strength,2
9,ranked,strength,2
9,learned,taiji,3
9,ranked,taiji,3
9,learned,cardio,4
9,ranked,stretching,4
9,learned,relaxation,5
9,ranked,relaxation,5
10,learned,strength,1
10,ranked,strength,1
10,learned,relaxation,2
10,ranked,relaxation,2
10,learned,stretching,3
10,ranked,stretching,3
10,learned,taiji,4
10,ranked,cardio,4
10,learned,cardio,5
10,ranked,taiji,5
11,learned,taiji,1
11,ranked,taiji,1
11,learned,relaxation,2
11,ranked,relaxation,2
11,learned,stretching,3
11,ranked,stretching,3
11,learned,strength,4
11,ranked,strength,4
11,learned,cardio,5
11,ranked,cardio,5
12,learned,taiji,1
12,ranked,cardio,1
12,learned,strength,2
12,ranked,strength,2
12,learned,cardio,3
12,ranked,taiji,3
12,learned,relaxation,4
12,ranked,stretching,4
12,learned,stretching,5
12,ranked,relaxation,5
13,learned,cardio,1
13,ranked,strength,1
13,learned,stretching,2
13,ranked,cardio,2
13,learned,taiji,3
13,ranked,stretching,3
13,learned,strength,4
13,ranked,relaxation,4
13,learned,relaxation,5
13,ranked,taiji,5
14,learned,taiji,1
14,ranked,cardio,1
14,learned,strength,2
14,ranked,strength,2
14,learned,cardio,3
14,ranked,relaxation,3
14,learned,relaxation,4
14,ranked,stretching,4
14,learned,stretching,5
14,ranked,taiji,5
15,learned,strength,1
15,ranked,strength,1
15,learned,cardio,2
15,ranked,stretching,2
15,learned,taiji,3
15,ranked,cardio,3
15,learned,stretching,4
15,ranked,relaxation,4
15,learned,relaxation,5
15,ranked,taiji,5
16,learned,relaxation,1
16,ranked,cardio,1
16,learned,strength,2
16,ranked,relaxation,2
16,learned,cardio,3
16,ranked,strength,3
16,learned,taiji,4
16,ranked,stretching,4
16,learned,stretching,5
16,ranked,taiji,5
17,learned,strength,1
17,ranked,strength,1
17,learned,cardio,2
17,ranked,cardio,2
17,learned,relaxation,3
17,ranked,relaxation,3
17,learned,taiji,4
17,ranked,stretching,4
17,learned,stretching,5
17,ranked,taiji,5
18,learned,taiji,1
18,ranked,taiji,1
18,learned,strength,2
18,ranked,relaxation,2
18,learned,cardio,3
18,ranked,stretching,3
18,learned,relaxation,4
18,ranked,strength,4
18,learned,stretching,5
18,ranked,cardio,5
19,learned,stretching,1
19,ranked,stretching,1
19,learned,taiji,2
19,ranked,taiji,2
19,learned,strength,3
19,ranked,strength,3
19,learned,relaxation,4
19,ranked,relaxation,4
19,learned,cardio,5
19,ranked,cardio,5
20,learned,strength,1
20,ranked,strength,1
20,learned,taiji,2
20,ranked,taiji,2
20,learned,relaxation,3
20,ranked,relaxation,3
20,learned,cardio,4
20,ranked,stretching,4
20,learned,stretching,5
20,ranked,cardio,5
