id,A1,A2,A3,A4,A5
1,Kraft,Dehnung,Kardio,Taiji,Entspannung
2,Entspannung,Dehnung,Taiji,Kardio,Kraft
3,Entspannung,Dehnung,Kraft,Kardio,Taiji
4,Kardio,Kraft,Dehnung,Entspannung,Taiji
5,Kraft,Kardio,Dehnung,Entspannung,Taiji
6,Dehnung,Entspannung,Kraft,Taiji,Kardio
7,Kraft,Taiji,Dehnung,Entspannung,Kardio
8,Kraft,Kardio,Dehnung,Entspannung,Taiji
9,Kardio,Kraft,Taiji,Dehnung,Entspannung
10,Kraft,Entspannung,Dehnung,Kardio,Taiji
11,Taiji,Entspannung,Dehnung,Kraft,Kardio
12,Kardio,Kraft,Taiji,Dehnung,Entspannung
13,Kraft,Kardio,Dehnung,Entspannung,Taiji
14,Kardio,Kraft,Entspannung,Dehnung,Taiji
15,Kraft,Dehnung,Kardio,Entspannung,Taiji
16,Kardio,Entspannung,Kraft,Dehnung,Taiji
17,Kraft,Kardio,Entspannung,Dehnung,Taiji
18,Taiji,Entspannung,Dehnung,Kraft,Kardio
19,Dehnung,Taiji,Kraft,Entspannung,Kardio
20,Kraft,Taiji,Entspannung,Dehnung,Kardio
